SciLifeID,SampleName,Timepoint,Nutrition,AZD
P11554_201,I0-2,0,T0,0
P11554_202,J0-7,0,T0,0
P11554_203,J0-23,0,T0,0
P11554_204,J0-5,0,T0,0
P11554_205,J0-21,0,T0,0
P11554_206,J0-11,0,T0,0
P11554_207,I6-1,6,NPS,DMSO
P11554_208,I6-2,6,NPS,DMSO
P11554_209,I6-3,6,NPS,DMSO
P11554_210,J6-4,6,NPS,AZD
P11554_211,I6-5,6,NPS,AZD
P11554_212,I6-6,6,NPS,AZD
P11554_213,I6-7,6,NP,DMSO
P11554_214,I6-8,6,NP,DMSO
P11554_215,I6-9,6,NP,DMSO
P11554_216,I6-10,6,NP,AZD
P11554_217,I6-11,6,NP,AZD
P11554_218,I6-12,6,NP,AZD
P11554_219,I6-13,6,PKS,DMSO
P11554_220,I6-14,6,PKS,DMSO
P11554_221,I6-15,6,PKS,DMSO
P11554_222,I6-16,6,PKS,AZD
P11554_223,I6-17,6,PKS,AZD
P11554_224,I6-18,6,PKS,AZD
P11554_225,I6-19,6,NS,DMSO
P11554_226,I6-20,6,NS,DMSO
P11554_227,I6-21,6,NS,DMSO
P11554_228,I6-22,6,NS,AZD
P11554_229,I6-23,6,NS,AZD
P11554_230,I6-24,6,NS,AZD
P11554_231,J24-1,24,NPS,DMSO
P11554_232,I24-2,24,NPS,DMSO
P11554_233,I24-3,24,NPS,DMSO
P11554_234,I24-4,24,NPS,AZD
P11554_235,I24-5,24,NPS,AZD
P11554_236,J24-6,24,NPS,AZD
P11554_237,I24-7,24,NP,DMSO
P11554_238,J24-8,24,NP,DMSO
P11554_239,I24-9,24,NP,DMSO
P11554_240,I24-10,24,NP,AZD
P11554_241,I24-11,24,NP,AZD
P11554_242,I24-12,24,NP,AZD
P11554_243,I24-13,24,PKS,DMSO
P11554_244,I24-14,24,PKS,DMSO
P11554_245,I24-15,24,PKS,DMSO
P11554_246,I24-16,24,PKS,AZD
P11554_247,I24-17,24,PKS,AZD
P11554_248,I24-18,24,PKS,AZD
P11554_249,I24-19,24,NS,DMSO
P11554_250,J24-20,24,NS,DMSO
P11554_251,I24-21,24,NS,DMSO
P11554_252,J24-22,24,NS,AZD
P11554_253,J24-23,24,NS,AZD
P11554_254,J24-24,24,NS,AZD
P11554_255,I0-18,0,T0,0
P11554_256,J0-13,0,T0,0
P11554_257,J0-17,0,T0,0
P11554_258,J0-15,0,T0,0
P11554_259,I0-10,0,T0,0
P11554_101,I0-2,0,T0,0
P11554_102,J0-7,0,T0,0
P11554_103,J0-23,0,T0,0
P11554_104,J0-5,0,T0,0
P11554_105,J0-21,0,T0,0
P11554_106,J0-11,0,T0,0
P11554_107,I6-1,6,NPS,DMSO
P11554_108,I6-2,6,NPS,DMSO
P11554_109,I6-3,6,NPS,DMSO
P11554_110,J6-4,6,NPS,AZD
P11554_111,I6-5,6,NPS,AZD
P11554_112,I6-6,6,NPS,AZD
P11554_113,I6-7,6,NP,DMSO
P11554_114,I6-8,6,NP,DMSO
P11554_115,I6-9,6,NP,DMSO
P11554_116,I6-10,6,NP,AZD
P11554_117,I6-11,6,NP,AZD
P11554_118,I6-12,6,NP,AZD
P11554_119,I6-13,6,PKS,DMSO
P11554_120,I6-14,6,PKS,DMSO
P11554_121,I6-15,6,PKS,DMSO
P11554_122,I6-16,6,PKS,AZD
P11554_123,I6-17,6,PKS,AZD
P11554_124,I6-18,6,PKS,AZD
P11554_125,I6-19,6,NS,DMSO
P11554_126,I6-20,6,NS,DMSO
P11554_127,I6-21,6,NS,DMSO
P11554_128,I6-22,6,NS,AZD
P11554_129,I6-23,6,NS,AZD
P11554_130,I6-24,6,NS,AZD
P11554_131,J24-1,24,NPS,DMSO
P11554_132,I24-2,24,NPS,DMSO
P11554_133,I24-3,24,NPS,DMSO
P11554_134,I24-4,24,NPS,AZD
P11554_135,I24-5,24,NPS,AZD
P11554_136,J24-6,24,NPS,AZD
P11554_137,I24-7,24,NP,DMSO
P11554_138,J24-8,24,NP,DMSO
P11554_139,I24-9,24,NP,DMSO
P11554_140,I24-10,24,NP,AZD
P11554_141,I24-11,24,NP,AZD
P11554_142,I24-12,24,NP,AZD
P11554_143,I24-13,24,PKS,DMSO
P11554_144,I24-14,24,PKS,DMSO
P11554_145,I24-15,24,PKS,DMSO
P11554_146,I24-16,24,PKS,AZD
P11554_147,I24-17,24,PKS,AZD
P11554_148,I24-18,24,PKS,AZD
P11554_149,I24-19,24,NS,DMSO
P11554_150,J24-20,24,NS,DMSO
P11554_151,I24-21,24,NS,DMSO
P11554_152,J24-22,24,NS,AZD
P11554_153,J24-23,24,NS,AZD
P11554_154,J24-24,24,NS,AZD
P11554_155,I0-18,0,T0,0
P11554_156,J0-13,0,T0,0
P11554_157,J0-17,0,T0,0
P11554_158,J0-15,0,T0,0
P11554_159,I0-10,0,T0,0
P13406_101,J0-7,0,T0,0
P13406_102,I24-7,24,NP,DMSO
P13406_103,J24-8,24,NP,DMSO
P13406_104,J24-20,24,NS,DMSO
P13406_105,I24-21,24,NS,DMSO
P13406_106,I0-18,0,T0,0
